Drone,Miles,PackageName,Strategy,Status
Drone1,1.494557,1_package,astar,Delivered
Drone2,1.441470,2_package,astar,Delivered
Drone3,1.260870,3_package,astar,Delivered
Drone4,1.461372,4_package,astar,Delivered
Drone1,1.163839,5_package,astar,Delivered
Drone4,0.417366,8_package,astar,Delivered
Drone3,0.854782,7_package,astar,Delivered
Drone1,0.946671,9_package,astar,Delivered
Drone2,1.948270,6_package,astar,Delivered
Security2,0.390193,5_package,astar,Retrieved
Drone1,0.750770,12_package,astar,Delivered
Drone4,2.375061,10_package,astar,Delivered
Drone2,1.155440,13_package,astar,Delivered
Security4,0.649671,12_package,astar,Retrieved
Drone4,0.410793,15_package,astar,Delivered
Drone3,2.386905,11_package,astar,Delivered
Drone1,1.999335,14_package,astar,Delivered
Security4,0.326744,12_package,astar,Retrieved
Security4,0.090092,12_package,astar,Retrieved
Security3,0.684948,12_package,astar,Retrieved
Drone2,0.946834,16_package,astar,Delivered
Security3,1.135922,15_package,astar,Retrieved
Drone1,1.156246,19_package,astar,Delivered
Drone4,0.817506,17_package,astar,Delivered
Drone3,1.953519,18_package,astar,Delivered
Drone2,1.079180,20_package,astar,Delivered
Drone1,0.770847,21_package,astar,Delivered
Security2,3.040070,14_package,astar,Retrieved
Drone4,1.187340,22_package,astar,Delivered
Drone3,1.505207,23_package,astar,Delivered
Security4,1.184892,21_package,astar,Retrieved
Security2,1.205717,21_package,astar,Retrieved
Drone2,2.676239,24_package,astar,Delivered
Drone1,2.776411,25_package,astar,Delivered
Drone3,1.892875,27_package,astar,Delivered
Drone4,2.802896,26_package,astar,Delivered
Drone3,0.088097,30_package,astar,Delivered
Drone1,1.646254,29_package,astar,Delivered
Drone2,2.589614,28_package,astar,Delivered
N/A,N/A,5_package,N/A,Stolen
N/A,N/A,12_package,N/A,Stolen
N/A,N/A,12_package,N/A,Stolen
N/A,N/A,15_package,N/A,Stolen
N/A,N/A,12_package,N/A,Stolen
N/A,N/A,12_package,N/A,Stolen
N/A,N/A,14_package,N/A,Stolen
N/A,N/A,21_package,N/A,Stolen
N/A,N/A,21_package,N/A,Stolen
Drone1,1.705160,1_package,bfs,Delivered
Drone2,1.323011,2_package,bfs,Delivered
Drone3,1.178710,3_package,bfs,Delivered
Drone4,1.995590,4_package,bfs,Delivered
Drone1,0.839665,5_package,bfs,Delivered
Drone3,0.776283,7_package,bfs,Delivered
Drone4,0.344282,8_package,bfs,Delivered
Security2,0.663356,8_package,bfs,Retrieved
Drone2,2.026638,6_package,bfs,Delivered
Drone1,1.059038,9_package,bfs,Delivered
Security1,0.705954,8_package,bfs,Retrieved
Security2,0.857542,8_package,bfs,Retrieved
Drone2,0.676566,12_package,bfs,Delivered
Security3,1.258954,8_package,bfs,Retrieved
Drone1,1.050693,13_package,bfs,Delivered
Drone3,2.424695,10_package,bfs,Delivered
Drone4,2.410481,11_package,bfs,Delivered
Drone1,0.491801,15_package,bfs,Delivered
Security1,1.459561,12_package,bfs,Retrieved
Drone2,2.406986,14_package,bfs,Delivered
Drone3,1.001225,16_package,bfs,Delivered
Drone4,0.777865,17_package,bfs,Delivered
Drone1,1.895513,18_package,bfs,Delivered
Drone3,1.037709,20_package,bfs,Delivered
Drone2,1.195920,19_package,bfs,Delivered
Drone4,0.703859,21_package,bfs,Delivered
Drone1,1.236563,22_package,bfs,Delivered
Security3,1.779343,19_package,bfs,Retrieved
Drone3,1.500105,23_package,bfs,Delivered
Security3,0.471406,21_package,bfs,Retrieved
Drone2,2.743559,24_package,bfs,Delivered
Drone3,1.928974,27_package,bfs,Delivered
Drone4,2.794343,25_package,bfs,Delivered
Drone1,2.846460,26_package,bfs,Delivered
Drone4,0.008123,30_package,bfs,Delivered
Drone2,2.538984,28_package,bfs,Delivered
Drone3,1.612071,29_package,bfs,Delivered
N/A,N/A,8_package,N/A,Stolen
N/A,N/A,8_package,N/A,Stolen
N/A,N/A,8_package,N/A,Stolen
N/A,N/A,8_package,N/A,Stolen
N/A,N/A,12_package,N/A,Stolen
N/A,N/A,19_package,N/A,Stolen
N/A,N/A,21_package,N/A,Stolen
Drone3,2.820945,3_package,dfs,Delivered
Drone2,8.250867,2_package,dfs,Delivered
Drone1,14.682958,1_package,dfs,Delivered
Drone1,1.913178,7_package,dfs,Delivered
Drone4,18.176976,4_package,dfs,Delivered
Drone3,20.677622,5_package,dfs,Delivered
Drone2,15.883052,6_package,dfs,Delivered
Drone1,11.030301,8_package,dfs,Delivered
Security1,0.501228,5_package,dfs,Retrieved
Security1,0.706741,8_package,dfs,Retrieved
Drone4,20.822370,9_package,dfs,Delivered
Security4,0.466404,9_package,dfs,Retrieved
Drone1,13.085161,12_package,dfs,Delivered
Security4,0.173733,9_package,dfs,Retrieved
Drone2,16.319444,11_package,dfs,Delivered
Drone3,18.286217,10_package,dfs,Delivered
Drone2,9.377715,15_package,dfs,Delivered
Drone4,13.954395,13_package,dfs,Delivered
Drone2,1.859775,17_package,dfs,Delivered
Security4,14.565167,12_package,dfs,Retrieved
Drone1,21.911715,14_package,dfs,Delivered
Security3,3.164973,14_package,dfs,Retrieved
Drone3,22.680285,16_package,dfs,Delivered
Drone2,10.595742,19_package,dfs,Delivered
Drone4,18.224491,18_package,dfs,Delivered
Drone1,20.896116,20_package,dfs,Delivered
Security3,2.208278,20_package,dfs,Retrieved
Drone2,17.228135,22_package,dfs,Delivered
Drone3,17.396163,21_package,dfs,Delivered
Drone4,12.505441,23_package,dfs,Delivered
Security3,0.445505,20_package,dfs,Retrieved
Security3,0.325776,21_package,dfs,Retrieved
N/A,N/A,5_package,N/A,Stolen
N/A,N/A,8_package,N/A,Stolen
N/A,N/A,9_package,N/A,Stolen
N/A,N/A,9_package,N/A,Stolen
N/A,N/A,12_package,N/A,Stolen
N/A,N/A,14_package,N/A,Stolen
N/A,N/A,14_package,N/A,Stolen
N/A,N/A,16_package,N/A,Stolen
N/A,N/A,20_package,N/A,Stolen
N/A,N/A,20_package,N/A,Stolen
N/A,N/A,21_package,N/A,Stolen
N/A,N/A,21_package,N/A,Stolen
Drone1,1.489514,1_package,dijkstra,Delivered
Drone2,1.364472,2_package,dijkstra,Delivered
Drone3,1.250796,3_package,dijkstra,Delivered
Drone4,1.996062,4_package,dijkstra,Delivered
Drone1,0.886538,5_package,dijkstra,Delivered
Drone4,0.410968,8_package,dijkstra,Delivered
Drone1,0.944505,9_package,dijkstra,Delivered
Drone2,1.953682,6_package,dijkstra,Delivered
Drone3,1.737192,7_package,dijkstra,Delivered
Drone2,0.756968,12_package,dijkstra,Delivered
Drone4,2.376210,10_package,dijkstra,Delivered
Drone3,1.138673,13_package,dijkstra,Delivered
Drone1,2.385197,11_package,dijkstra,Delivered
Drone4,0.398932,15_package,dijkstra,Delivered
Drone2,2.035344,14_package,dijkstra,Delivered
Drone3,0.937742,16_package,dijkstra,Delivered
Drone1,0.821452,17_package,dijkstra,Delivered
Drone2,1.206566,19_package,dijkstra,Delivered
Drone4,1.886503,18_package,dijkstra,Delivered
Drone3,1.074295,20_package,dijkstra,Delivered
Drone2,1.192028,22_package,dijkstra,Delivered
Drone1,0.784545,21_package,dijkstra,Delivered
Drone4,1.506450,23_package,dijkstra,Delivered
Security1,1.105781,16_package,dijkstra,Retrieved
Drone3,2.677519,24_package,dijkstra,Delivered
Drone4,1.886561,27_package,dijkstra,Delivered
Security2,1.540467,16_package,dijkstra,Retrieved
Drone2,2.770954,25_package,dijkstra,Delivered
Drone1,2.802274,26_package,dijkstra,Delivered
Drone2,0.089354,30_package,dijkstra,Delivered
Drone3,2.603375,28_package,dijkstra,Delivered
Security3,0.471773,30_package,dijkstra,Retrieved
Drone4,1.653512,29_package,dijkstra,Delivered
Security3,0.725188,30_package,dijkstra,Retrieved
N/A,N/A,16_package,N/A,Stolen
N/A,N/A,16_package,N/A,Stolen
N/A,N/A,30_package,N/A,Stolen
N/A,N/A,30_package,N/A,Stolen


